prompt,question,options,answer,gpt4_label
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What kind of damages put the nonbreaching party into as good a position as if the other party had fully performed?,"['0. Nominal', '1. Punitive', '2. Rescission', '3. Compensatory']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What are the key characteristics of transactional leaders?,"['0. Guiding, mentoring and motivating', '1. Guiding, commanding and motivating', '2. Guiding, demonstrating and motivating', '3. Guiding, mentoring and demonstrating']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Congress recently enacted a statute permitting a governmental agency to make a gift of federal property to private individuals or organizations, provided that it be used ""to further good relations and better understanding with foreign governments. ""The Secretary of Defense planned to give an old military cargo plane to a national organization who supports future pilots. Before making the gift, the Secretary was approached by the head of a church. The church leader indicated that he would be sponsoring a worldwide crusade and suggested to the Secretary that such an undertaking would serve to strengthen relations with foreign governments. The Secretary donated the plane to the church instead of the organization. Who would have the best standing to challenge the Secretary's action?","['0. A citizen of the United States.', '1. A taxpayer of the United States.', '2. The national organization.', '3. A state within the United States.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What do herpetologists study?,"['0. Herpes', '1. Blood', '2. Insects', '3. Reptiles and amphibians']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A resident announced his candidacy for state representative. A law in the state requires new political entrants (regardless of party affiliation) to obtain three times the number of signatures as other candidates who have run for office previously. The resident, however, failed to obtain the necessary number of authenticating signatures to have his name placed on the ballot. The resident filed a complaint in federal district court alleging the unconstitutionality of the authenticating requirement. Which of the following, if established, is the state's strongest argument for sustaining the validity of the authenticating requirement?","[""0. The resident's petition contained a large number of false signatures."", '1. A similar authenticating statute was held to be constitutional in another state the previous year.', '2. The authenticating requirement was necessary to further a compelling state interest.', '3. Two other candidates had successfully petitioned to have their names included on the ballot.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I yanked the toddler by the arm when he started to walk toward the traffic. Scenario 2 | I need to take a break to relax.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Research on the effects of sexually explicit material using material that the viewer finds acceptable has shown that:,"['0. erotica has no effect on sexual behavior', '1. erotica may lead to increases in sexual arousal for men and women', '2. nonaggressive erotica leads to massive increases in aggressive behavior', '3. erotica decreases sexual arousal and sexual interest']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","If a woman or man repeatedly experiences pain during intercourse, she will probably want to have intercourse infrequently or not all. In this situation, __________ would likely classify the pain as a punishment.","['0. Sigmund Freud', '1. John Money', '2. B. F. Skinner', '3. Havelock Ellis']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}", Which goddess is worshipped during the festival of Divali?,"['0. Durga', '1. Sri Lakshmi', '2. Kali', '3. Mahavira']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of these features suggest that a pulsation in the neck is arterial?,"['0. A waggling earlobe', '1. Positive for hepatojugular reflux', '2. No variation with posture', '3. Pressure in the root of the neck reduces the impulse']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?
","['0. Low haemoglobin, high ferritin, high serum transferrin receptors, high hepcidin', '1. Low haemoglobin, low ferritin, high serum transferrin receptors, low hepcidin', '2. Low haemoglobin, low ferritin, normal serum transferrin receptors, high hepcidin', '3. Low haemoglobin, low ferritin, low serum transferrin receptors, high hepcidin']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Select the best translation into predicate logic. Leo is taller than Cathy. (c: Cathy; l: Leo; Txy: x is taller than y),"['0. Tlc', '1. Tcl', '2. lTc', '3. cTl']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",What is the first step in any example of classical conditioning?,"['0. Following a response with a reinforcement or a punishment', '1. Reinforcing an organism for a behavior similar to the desired behavior', '2. Pairing an unconditioned stimulus with a conditioned stimulus', '3. Rewarding a behavior with an unconditioned stimulus, such as food']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Find the length of the curve y = ln x between the points where y = 1/2 and y = 1.,"['0. 0.53', '1. 0.86', '2. 1.18', '3. 1.36']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.","['0. public issues', '1. crisis management', '2. consumer relations', '3. community relations']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",The fossils originally known as Sinanthropus pekinensis or “Peking Man” are now classified as:,"['0. Homo floresiensis.', '1. Homo sapiens.', '2. Homo erectus.', '3. Homo habilis.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Fechner’s Jaw assumes that “just noticeable differences” are,"['0. psychologically equal intervals', '1. numerically equal intervals', '2. progressively smaller in magnitude', '3. erratic and cannot be reliably measured']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}", Kamm claims that Sandel's moral distinction between treatment and enhancement assumes that,"['0. nature in itself has no moral value.', '1. nature is sacred and should be honored.', '2. human beings want enhancement more than they want treatment.', '3. there is no moral difference between treatment and enhancement.']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Disease can most often be prevented by which of the following:,"['0. Vaccines', '1. Antivirals', '2. Hygiene', '3. mosquito nets']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","One afternoon after school, a 14-year-old girl went into a drug store. While browsing, she picked up a candy bar and placed it in her coat pocket. She left the store without paying for it. Unknown to the girl, the store security guard saw what she had done. He immediately ran outside, grabbed her arm, and accused her of stealing the candy bar. The girl broke down and started crying. She then told the security guard that she was hungry because she hadn't eaten any lunch. At a juvenile delinquency court hearing, the security guard proposes to testify to what the girl said. Upon objection by the girl's attorney, the strongest reason for admitting her statement will be because","['0. Miranda warnings need not be given to juveniles.', ""1. the security guard's remark was an accusation, not an interrogation."", '2. the security guard was not employed by an agency of the government.', '3. the girl was not in custody.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of these statements best describes the UK Constitution?,"[""0. The UK Constitution's only source of power is that of the sovereign"", '1. The UK Constitution gives the judiciary the power to overturn acts of parliament', '2. The UK Constitution is uncodified and can be found in a number of sources', '3. The UK Constitution is based on a Bill of Rights']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Identify the antecedent of the following conditional proposition: If the Bees don't win their first game, then both the Aardvarks and the Chipmunks win their first games.","['0. The Aardvarks win their first game.', ""1. The Bees don't win their first game."", '2. The Chipmunks win their first game.', '3. Both the Aardvarks and the Chipmunks win their first games.']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Spectral lines of the elements are,"['0. chaotic', '1. ordered', '2. positioned by amplitude', '3. in phase']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","________________reflect a purchaser's high level of involvement in the purchase decision. There is high perceived risk in these decisions so consumers spend a great deal of time, care, and energy searching, formulating, and making the final decision.","['0. Durable goods.', '1. Non-durable goods.', '2. Convenience products.', '3. Services.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A retiree owned a 100-acre farm. For many years, the retiree grew tobacco on a 10-acre strip located in the northeast section of the property. In March, the retiree planted his annual tobacco crop, which he usually harvested in early October. In September, the retiree sold his farm to a tobacco grower for $100,000. At the time the retiree conveyed the property to the grower, the tobacco crop was well developed and quite mature. When the retiree and the grower entered into their land-sale agreement, there was no mention of the status or ownership of the tobacco crop. In early October, after the grower took possession of the property, the retiree contacted him and requested permission to harvest and remove the tobacco crop. The grower refused to allow the retiree to re-enter the property. The retiree brings suit against the grower seeking to re-enter the property and remove the tobacco crop that he had planted. Which of the following is correct regarding the respective rights of the parties?","['0. The retiree is entitled to remove the tobacco crop, but he must pay the grower a reasonable value to enter the property, thus gaining access to the crop.', '1. The retiree is entitled to remove the tobacco crop and is not required to pay the grower for entering the property, thus gaining access to the crop.', '2. The retiree is not entitled to remove the tobacco crop and, thus, is not entitled to re-enter the property.', '3. The retiree and the grower each have a colorable title to the tobacco crop, and consequently, there should be an equitable division of the proceeds from the sale of the crop between both parties.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Find the number that makes the statement 2 over 9 = 14 over ? true.,"['0. 14', '1. 16', '2. 15', '3. 63']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following statements is TRUE concerning women in the labor force?,"['0. Most women work in agriculture', '1. The percentage of women economically active in the labor force declined worldwide', '2. The percentage of women in the total labor force declined', '3. Women spend more hours per day working than men in all regions except Anglo America and Australia']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Castration in adulthood,"['0. will produce a high voice because of decreased testosterone production.', '1. will produce a high voice because of the pain that accompanies the procedure.', '2. will not produce a high voice because the larynx has already grown.', '3. will not produce a high voice because castration does not affect testosterone production.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,"['0. 70 pm, 1402 kJ/mol', '1. 86 pm, 898 kJ/mol', '2. 135 pm, 523 kJ/mol', '3. 40 pm, 995 kJ/mol']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following is a form of harm that might be suffered by research participants?,"['0. Physical injury', '1. Stress and anxiety', '2. Impaired development', '3. All of the above']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",When did Aborigines occupy the harsh interior of Australia?,"['0. 10,000–12,000 years ago', '1. 20,000–25,000 years ago', '2. 35,000–40,000 years ago', '3. 40,000–45,000 years ago']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Of the following interest groups, which has created the largest number of political action committees (PACs) since the 1970s?","['0. Environmental activists', '1. Labor unions', '2. For-profit business', '3. Religious institutions']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which of the following is most characteristic of gesture drawing?,"['0. An outline', '1. Action and movement', '2. Gradual shading', '3. Carefully observed details']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have read…the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy ground…""
Roger Williams, The Hireling Ministry None of Christ's, 1652
Which of the following documents encouraged church membership in the Massachusetts Bay Colony?","['0. The Mayflower Compact', '1. The Fundamental Orders', '2. The Halfway Covenant', '3. The Cambridge Agreement']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","Which of the following problems is (are) decidable?
I. Given a (finite) string w, is w a prefix of the decimal expansion of π?
II. Given a program and an input, is the program’s output the decimal expansion of π?
III. Given a program that takes as input a prefix of the decimal expansion of π, is the program’s output always the same for every prefix?","['0. I only', '1. II only', '2. III only', '3. I and II only']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",The cause of Alzheimer's appears to be,"['0. Mostly environmental', '1. Aluminum', '2. Mostly genetic', '3. Apo-E 4']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}"," This is where the manufacturing, purchasing, and consumption can occur at differing points in time.","['0. Time utility.', '1. Ownership utility.', '2. Accessibility.', '3. Information utility.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A patient was in the hospital to be treated for an illness. The patient's doctor prescribed a mild anesthetic drug, to be given to the patient intravenously, to reduce the pain being experienced by the patient. The patient was supposed to receive a saline solution containing 18. 5 milligrams of the drug. A nurse arranged to have a pharmacy technician prepare the solution and drug, and then the nurse administered the solution and drug to the patient. The solution that was administered to the patient contained 185 milligrams of the drug, rather than just 18. 5. Shortly after receiving the drug, the patient had a heart attack and died. The doctor, nurse, and pharmacy technician were all employed by the hospital. If the patient's family brings a wrongful death claim against the hospital, which of the following must the family prove in order to recover damages?","[""0. The family must identif' which of the three hospital employees involved \x80\x94the doctor, nurse, and pharmacy technician \x80\x94was actually responsible for the mistake in the dosage of the drug."", '1. The family must prove the specific negligent act that resulted in the wrong dose of the drug being administered.', '2. The family must show that hospital administrators were negligent in hiring or supervising one or more of the employees involved.', '3. The family must prove that the patient would not have died if given 18. 5 milligrams of the drug.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",The aggregate demand curve has a negative slope in part because when the price level increases,"['0. the value of cash increases', '1. imports become relatively more expensive', '2. the real quantity of money increases', '3. the interest rate increases']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","| Driveway--------------------------------------------------------------House | House |-------------------------------------------------------------- | Garage | House--------------------------------------------------------------LOT3 | LOT2 | LOT1 --------------------------------------------------------------(TEACHER) | (NEIGHBOR) | (CO-WORKER | | & BOSS)-------------------------------------------------------------On March 1, 1999, a landowner, the sole owner and occupant of lot 1, died and devised lot ito both his co-worker and his boss ""as their community property. "" The co-worker and boss were siblings, and neither was married. Lot 1 consisted of a single- family house with a yard, garage, and driveway. On May 1, 1999, the boss moved into the house on lot 1. One year later, the co-worker and the boss executed and delivered the following deed instrument to a neighbor "". . . hereby grant to (the neighbor) the northerly 30 feet of lot 1, consisting of the paved driveway now existing, to be used for the ingress and egress of motor vehicles, but should (the neighbor) or his heirs and assigns use said property for any other purpose, all the rights, privileges, and immunities herein granted shall cease and determine. "" In consideration for the said deed, the neighbor paid the co-worker and the boss $2,000 (which they divided equally). The deed was never recorded by the neighbor. Because the boss didn't own a car, she never used the driveway. Similarly, the neighbor never used the driveway because he unexpectedly had his driver's license suspended shortly after executing the above instrument. The boss died intestate on May 1, 2001, leaving her daughter as her sole heir. Following her mother's death, the daughter moved into the house on May 2, 2001. On June 1, 2001 the neighbor sold lot 2 to a professor by a deed that contained no mention of the driveway located on lot 1. The neighbor and the professor assumed that the latter had the right to use the driveway, so they didn't insert any recitations in their deed instrument regarding the driveway. Immediately upon her taking possession of the premises, the daughter began to use the driveway on lot 1. Consequently, she objected to the professor's use of the driveway. After the daughter refused to permit the professor to use the driveway, he brought suit to determine his right to continue use of the driveway. The professor should","['0. win, because he acquired an implied easement to use the driveway as owner of the dominant tenement.', ""1. win, because the neighbor's easement to use the driveway was conveyed to the professor."", '2. lose, because the Statute of Frauds was not satisfied.', ""3. lose, because the neighbor's non-use of the driveway effectuated an abandonment of the easement.""]",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I like to go to church because it makes me feel supremely close to God. Scenario 2 | I looked at my neighbor's test to get a good grade.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Base Electric Co. has entered an agreement to buy its actual requirements of copper wiring for six months from the Seymour Metal Wire Company and Seymour Metal has agreed to sell all the copper wiring Base will require for six months. The agreement between the two companies is,"['0. Unenforceable because it is too indefinite as to quantity.', '1. Unenforceable because it lacks mutuality of obligation.', '2. Unenforceable because of lack of consideration.', '3. Valid and enforceable.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Which oscillators are easy to fabricate in a monolithic IC?,"['0. Crystal oscillator.', '1. Hartley oscillator.', '2. Wien bridge oscillator.', '3. Relaxation oscillator.']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}",Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y),"['0. Tdc', '1. Tcd', '2. Tcc', '3. dTc']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Example> below.
You can only choose the correct answer from [QA, Sentence completion].

<Task Description>
* qa: a task that chooses the correct answer to a question.
* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.

You should answer the task type and not say anything after that.

<Example>
{question}

Options: {options}

{answer}","A state legislature passed a law requiring state universities to have male and female students live in separate dormitory facilities. The law was passed in order to curtail the increasing number of co-ed pregnancies on college campuses. Two students at a state university are engaged to be married and wish to share a dormitory room together. Citing the law, university housing officials refuse to allow them to live together in a campus dormitory facility. The students bring an appropriate action to challenge the constitutionality of the law. Which of the following correctly states the applicable burden of persuasion?","['0. Since the law deals with the fundamental right of privacy, the state must show that it furthers a compelling state interest.', '1. Since the law deals with the freedom of association, the state must show that it furthers a compelling state interest.', '2. Since the law involves gender discrimination, the state must prove that the law is substantially related to an important state interest.', '3. Since the law does not affect a fundamental right or involve gender discrimination, the burden is on the plaintiffs to show that it is not rationally related to a legitimate governmental interest.']",3,QA
